"","N2_CTR_1","N2_CTR_3","N2_CTR_4","N2_HS_1","N2_HS_3","N2_HS_4"
"WBGene00014382",0,0,0,41.1251619786844,18.6714171232096,6.49922978811432
"WBGene00009885",230.601808370751,193.777687801909,230.186274789567,404.39742612373,257.665556300293,252.386756771773
"WBGene00009886",790.049982524646,804.177404377922,736.736010192747,723.802850824846,890.6265967771,780.990779538404
"WBGene00198847",0,0,0,1.37083873262281,0,0
"WBGene00170615",1.36450774183877,0,0,0,5.60142513696289,0
"WBGene00009887",26.6079009658559,21.4539582923542,35.6823708640362,43.8668394439301,26.1399839724935,34.662558869943
"WBGene00197764",0,0,0,0,1.86714171232096,2.16640992937144
"WBGene00199595",0,0,0.699654330667376,0,0,0
"WBGene00007516",2087.69684501331,1211.11054876193,1222.29611567591,2163.1835200788,4113.31319224309,1910.77355770561
"WBGene00007517",184.208545148233,148.793581705037,141.33017479481,72.6544528290092,218.455580341553,96.4052418570291
"WBGene00007518",6.14028483827445,4.15237902432662,3.49827165333688,13.7083873262281,9.33570856160482,12.9984595762286
"WBGene00196301",0,0,0,0,0,1.08320496468572
"WBGene00200513",0,0,0.699654330667376,1.37083873262281,0,1.08320496468572
"WBGene00199702",0,0,0,0,0,1.08320496468572
"WBGene00202134",2.04676161275815,0,0,0,0,1.08320496468572
"WBGene00007520",231.96631611259,212.463393411379,206.398027546876,248.121810604729,149.371336985677,146.232670232572
"WBGene00007521",229.237300628913,188.933245606861,259.571756677596,24.6750971872107,89.6228021914063,22.7473042584001
"WBGene00012292",6.82253870919383,19.3777687801909,25.8872102346929,551.077170514372,496.659695477377,310.879824864802
"WBGene00007522",2.72901548367753,0,9.09550629867589,16.4500647914738,3.73428342464193,5.4160248234286
"WBGene00009378",2.72901548367753,0,0,0,11.2028502739258,1.08320496468572
"WBGene00009379",4.0935232255163,2.07618951216331,9.09550629867589,0,0,0
"WBGene00009380",156.918390311458,145.333265851432,132.934322826801,291.98865004866,100.825652465332,185.228048961258
"WBGene00009382",5.45803096735506,2.76825268288441,6.29688897600638,0,11.2028502739258,4.33281985874288
"WBGene00014364",0,5.53650536576883,4.19792598400426,57.5752267701582,39.2099759587403,45.4946085168002
"WBGene00199732",0,0,0,0,3.73428342464193,0
"WBGene00202115",0,0,0,0,5.60142513696289,4.33281985874288
"WBGene00009381",15.6918390311458,4.84444219504772,13.9930866133475,31.5292908503247,20.5385588355306,16.2480744702858
"WBGene00000085",13.6450774183877,24.2222109752386,10.4948149600106,4.11251619786844,14.9371336985677,18.4144843996572
"WBGene00197115",0,0,2.09896299200213,8.22503239573689,0,1.08320496468572
"WBGene00011763",59.3560867699863,27.6825268288441,76.9619763734113,117.892131005562,22.4057005478516,43.3281985874288
"WBGene00195084",8.1870464510326,22.8380846337964,13.2934322826801,47.9793556417985,3.73428342464193,23.8305092230858
"WBGene00002067",1182.34595830329,1028.40587169156,656.975416496666,1476.39331503477,1635.61613999317,1740.71037824995
"WBGene00008065",12.2805696765489,8.30475804865324,10.4948149600106,6.85419366311407,0,7.58243475280004
"WBGene00001123",75.0479258011321,31.8349058531708,29.3854818880298,49.3501943744213,78.4199519174805,32.4961489405716
"WBGene00197414",0,0,0,1.37083873262281,0,2.16640992937144
"WBGene00008865",2434.28181144036,2928.81133849171,2716.75776598142,1325.60105444626,3347.78509019149,2865.07713159373
"WBGene00008869",0,4.15237902432662,3.49827165333688,2.74167746524563,3.73428342464193,7.58243475280004
"WBGene00008867",0,0,0,0,3.73428342464193,0
"WBGene00001863",10624.0572779566,5775.95922283833,10886.6213851844,20791.5110576902,16606.3583893827,17369.1916087355
"WBGene00008868",69.5898948337771,105.193601949608,58.0713094453922,38.3834845134388,11.2028502739258,33.5793539052573
"WBGene00200794",0,0,0,0,0,2.16640992937144
"WBGene00014333",0,2.76825268288441,0,12.3375485936053,3.73428342464193,0
"WBGene00201605",0,0,0,0,1.86714171232096,0
"WBGene00014334",0,0,0,1.37083873262281,18.6714171232096,0
"WBGene00220066",137.815281925715,267.828447069067,221.790422821558,41.1251619786844,72.8185267805176,29.2465340465144
"WBGene00011642",168.516706117088,137.7205709735,114.74331022945,131.60051833179,1105.34789369401,866.563971748576
"WBGene00011644",3.41126935459692,6.22856853648993,3.49827165333688,6.85419366311407,3.73428342464193,3.24961489405716
"WBGene00011643",13.6450774183877,36.6793480482185,27.2865188960277,142.567228192773,93.3570856160482,151.648695056001
"WBGene00198868",0,0,0,0,0,1.08320496468572
"WBGene00202459",5.45803096735506,0,0,0,0,0
"WBGene00201408",0,0,0,0,9.33570856160482,0
"WBGene00011645",170.563467729846,162.634845119459,195.903212586865,178.209035240966,65.3499599312338,116.986136186058
"WBGene00011646",5.45803096735506,4.15237902432662,0,5.48335493049126,7.46856684928386,10.8320496468572
"WBGene00009482",718.41332607811,667.148896575144,624.791317285967,1757.41525522245,1097.87932684473,1324.75967181064
"WBGene00195492",2.04676161275815,0,0,6.85419366311407,0,1.08320496468572
"WBGene00198034",2.72901548367753,0,0,0,0,0
"WBGene00168130",0,0,0.699654330667376,0,1.86714171232096,0
"WBGene00009483",367.052582554628,363.333164628579,295.9537818723,282.3927789203,407.03689328597,355.291228416916
"WBGene00170625",30.0191703204529,22.1460214630753,47.5764944853816,10.9667098609825,39.2099759587403,27.080124117143
