,WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,change,cat
638,WBGene00014937,,Y61B8A.3,Live,pseudogene,2.15865363,5.071023231,0.164562716,0,0,0,5.48335493,7.468566849,0,no_change,
90,WBGene00005511,srh-307,Y59A8B.5,Live,pseudogene,4.256299302,5.062212362,0.02224708,0.682253871,0,0,6.854193663,9.335708562,8.665639717,no_change,
1194,WBGene00045029,,Y57G11C.54,Live,pseudogene,4.222482102,5.043492134,0.025405941,0,0,0.699654331,10.96670986,9.335708562,4.332819859,no_change,
163,WBGene00005994,srx-103,F40H7.11,Live,pseudogene,2.045036414,5.020666959,0.169144021,0,0,0,6.854193663,0,5.416024823,no_change,
396,WBGene00012453,,Y17D7B.5,Live,pseudogene,2.045036414,5.020666959,0.169144021,0,0,0,6.854193663,0,5.416024823,no_change,
105,WBGene00005600,srj-12,R11G11.4,Live,pseudogene,2.056258099,5.018211463,0.269938536,0,0,0,12.33754859,0,0,no_change,
430,WBGene00013051,,Y50E8A.8,Live,pseudogene,2.056258099,5.018211463,0.269938536,0,0,0,12.33754859,0,0,no_change,
1070,WBGene00023465,srz-81,C09G12.13,Live,pseudogene,2.056258099,5.018211463,0.269938536,0,0,0,12.33754859,0,0,no_change,
86,WBGene00005473,srh-267,C04F2.5,Live,pseudogene,2.04309734,5.009889934,0.116477923,0,0,0,8.225032396,1.867141712,2.166409929,no_change,
1103,WBGene00044126,srsx-23,F38E1.12,Live,pseudogene,2.047675873,4.98689069,0.195173628,0,0,0,0,11.20285027,1.083204965,no_change,
986,WBGene00023263,,D1005.t1,Live,pseudogene,1456.715656,4.968551025,5.04E-49,79.8237029,88.58408585,102.1495323,4179.687296,2165.884386,2124.164936,up,
141,WBGene00005878,srw-131,K12D9.13,Live,pseudogene,1.993219303,4.964587814,0.189717301,0,0,0,8.225032396,3.734283425,0,no_change,
1161,WBGene00044727,,Y53F4B.44,Live,pseudogene,1.993219303,4.964587814,0.189717301,0,0,0,8.225032396,3.734283425,0,no_change,
150,WBGene00005944,srx-53,T27C5.2,Live,pseudogene,1.960380176,4.954311161,0.190654944,0,0,0,9.595871128,0,2.166409929,no_change,
765,WBGene00018066,,F35F11.3,Live,pseudogene,1.90121953,4.921462694,0.19540639,0,0,0,2.741677465,0,8.665639717,no_change,
1366,WBGene00077785,,F35E2.11,Live,pseudogene,1.91050214,4.908305187,0.209859397,0,0,0,9.595871128,1.867141712,0,no_change,
1,WBGene00000026,abu-3,F31A3.1,Live,pseudogene,1.917019748,4.895568742,0.203609795,0,0,0,0,9.335708562,2.166409929,no_change,
562,WBGene00014788,,F59A1.t8,Live,pseudogene,1.917019748,4.895568742,0.203609795,0,0,0,0,9.335708562,2.166409929,no_change,
631,WBGene00014923,,Y57G11C.26,Live,pseudogene,1.917019748,4.895568742,0.203609795,0,0,0,0,9.335708562,2.166409929,no_change,
1218,WBGene00045179,,F01G10.11,Live,pseudogene,1.917019748,4.895568742,0.203609795,0,0,0,0,9.335708562,2.166409929,no_change,
1141,WBGene00044523,,F37B4.14,Live,pseudogene,1.897341381,4.895294535,0.12599591,0,0,0,5.48335493,3.734283425,2.166409929,no_change,
120,WBGene00005734,srv-23,H04M03.10,Live,pseudogene,1.882241547,4.865994799,0.142228015,0,0,0,2.741677465,7.468566849,1.083204965,no_change,
306,WBGene00009972,oac-33,F53C11.2,Live,pseudogene,76.20787811,4.864686605,9.02E-18,6.140284838,2.076189512,6.996543307,150.7922606,115.7627862,175.4792043,up,
54,WBGene00005302,srh-81,W03F9.7,Live,pseudogene,1.867141712,4.856664089,0.30814499,0,0,0,0,11.20285027,0,no_change,
1304,WBGene00077534,,F41D3.14,Live,pseudogene,1.867141712,4.856664089,0.30814499,0,0,0,0,11.20285027,0,no_change,
